faq_pregunta,faq_respuesta
"¿Donde está Ghost en final de la sexta temporada, murió?","La razón por la que Ghost no aparece en la Batalla de los Bastardos de la serie, corresponde al rol que cumpliría el personaje y el alto costo en efectos especiales de ubicar al personaje en las escenas. Es por esto que la razón de la que noaparezca está ligada a los costos de producción y que este no tenía importancia en el avance para la historia en el guión."
¿Volverá a aparecer Nymeria en la serie?,"Mientras se transmitía la sexta temporada, se rumoreaba que Nymeria volvería a aparecer, ya que en el set de grabación de The Riverlands, se hicieron unas tomas de una manada de lobos; lo que sumado a la presencia de Arya en Riverrun para consumar su venganza contra los Frey, indicaba que posiblemente volvería a aparecer el personaje. Sin embargo esto no ocurrió, por lo que para saber si ocurrirá o no, habrá que ver la septima temporada."
¿Rhaegar secuestró a Lyanna por la Fuerza?,"Hasta el momento, lo que efectivamente se sabe es que fue ""secuestrada"", pero las condiciones de ese secuestro nose conocen, vale decir, no se sabe si efectivamente fue así o si fue con su consentimiento, o si lo fue en un principio y luego surgió el amor entre ambos."
¿Dónde se dirige Melisandre al final de la sexta temporada?,"Al final de la temporada, si bien Davos solicita a Jon su ejecución, este decide no hacerlo desterrandola del Norte, a pesar de la gravedad de sus acciones, lo que abre la posibilidad de que en algun momento de lahistoria vuelva como aliadaen la lucha contra los White Walkers, especialmente considerando que Melisandre considera a Jon su nuevo elegido."
